# 6
# wavenum, a0, a1, a2, maxerr, temp(maxerr)
# fit to xsec vs ((T-100)/10)^2
 49109.5  3.968E-10 -1.155E-08  1.320E-07  0.86  130.
 49110.0  2.986E-10 -8.687E-09  1.042E-07  0.79  130.
 49110.5  2.856E-10 -8.590E-09  1.022E-07  0.85  130.
 49111.0  3.350E-10 -1.029E-08  1.156E-07  0.96  130.
 49111.5  4.951E-10 -1.539E-08  1.577E-07  1.16  130.
 49112.0  9.835E-10 -3.086E-08  2.869E-07  1.52  130.
 49112.5  2.556E-09 -7.972E-08  6.868E-07  1.84  130.
 49113.0  3.144E-09 -9.838E-08  8.404E-07  1.92  130.
 49113.5  1.860E-09 -5.819E-08  5.099E-07  1.78  130.
 49114.0  7.572E-10 -2.403E-08  2.289E-07  1.48  130.
 49114.5  3.819E-10 -1.215E-08  1.282E-07  1.15  130.
 49115.0  2.375E-10 -7.629E-09  8.951E-08  0.95  130.
 49115.5  1.636E-10 -5.168E-09  6.726E-08  0.75  130.
 49116.0  1.234E-10 -3.850E-09  5.519E-08  0.63  130.
 49116.5  9.851E-11 -3.023E-09  4.752E-08  0.55  130.
 49117.0  8.204E-11 -2.463E-09  4.227E-08  0.48  130.
 49117.5  7.137E-11 -2.116E-09  3.915E-08  0.44  130.
 49118.0  6.335E-11 -1.828E-09  3.639E-08  0.39  130.
 49118.5  5.826E-11 -1.656E-09  3.492E-08  0.37  130.
 49119.0  5.470E-11 -1.527E-09  3.385E-08  0.35  130.
 49119.5  5.258E-11 -1.448E-09  3.327E-08  0.34  130.
 49120.0  5.147E-11 -1.389E-09  3.283E-08  0.32  130.
 49120.5  5.188E-11 -1.405E-09  3.340E-08  0.33  130.
 49121.0  5.331E-11 -1.442E-09  3.404E-08  0.33  130.
 49121.5  5.518E-11 -1.461E-09  3.436E-08  0.32  130.
 49122.0  5.904E-11 -1.570E-09  3.576E-08  0.33  130.
 49122.5  6.443E-11 -1.720E-09  3.760E-08  0.34  130.
 49123.0  7.279E-11 -1.993E-09  4.090E-08  0.37  130.
 49123.5  8.320E-11 -2.252E-09  4.352E-08  0.38  130.
 49124.0  9.943E-11 -2.727E-09  4.853E-08  0.42  130.
 49124.5  1.243E-10 -3.478E-09  5.625E-08  0.48  130.
 49125.0  1.638E-10 -4.627E-09  6.732E-08  0.55  130.
 49125.5  2.345E-10 -6.744E-09  8.738E-08  0.66  130.
 49126.0  3.723E-10 -1.068E-08  1.226E-07  0.79  130.
 49126.5  7.084E-10 -2.014E-08  2.038E-07  0.97  130.
 49127.0  1.741E-09 -4.899E-08  4.456E-07  1.18  130.
 49127.5  3.184E-09 -8.839E-08  7.700E-07  1.23  130.
 49128.0  1.973E-09 -5.552E-08  5.031E-07  1.19  130.
 49128.5  8.574E-10 -2.432E-08  2.448E-07  0.97  130.
 49129.0  5.320E-10 -1.533E-08  1.713E-07  0.84  130.
 49129.5  4.797E-10 -1.393E-08  1.615E-07  0.81  130.
 49130.0  6.168E-10 -1.811E-08  1.998E-07  0.89  130.
 49130.5  1.140E-09 -3.379E-08  3.362E-07  1.11  130.
 49131.0  2.863E-09 -8.448E-08  7.608E-07  1.37  130.
 49131.5  3.596E-09 -1.053E-07  9.344E-07  1.38  130.
 49132.0  2.029E-09 -6.028E-08  5.728E-07  1.24  130.
 49132.5  8.346E-10 -2.462E-08  2.778E-07  0.88  130.
 49133.0  4.309E-10 -1.211E-08  1.736E-07  0.58  130.
 49133.5  2.693E-10 -6.937E-09  1.349E-07  0.42  130.
 49134.0  1.858E-10 -3.881E-09  1.151E-07  0.29  130.
 49134.5  1.424E-10 -2.166E-09  1.119E-07  0.23  130.
 49135.0  1.130E-10 -5.953E-10  1.128E-07  0.18  130.
 49135.5  9.324E-11  8.668E-10  1.221E-07  0.15  130.
 49136.0  7.883E-11  2.526E-09  1.402E-07  0.11  130.
 49136.5  6.689E-11  4.724E-09  1.725E-07  0.10  130.
 49137.0  5.550E-11  8.116E-09  2.285E-07  0.08  130.
 49137.5  3.322E-11  1.472E-08  3.297E-07  0.07  130.
 49138.0 -1.217E-11  2.936E-08  5.617E-07  0.06  130.
 49138.5 -1.389E-10  7.383E-08  1.311E-06  0.05  130.
 49139.0 -1.297E-09  4.447E-07  7.187E-06  0.05  130.
 49139.5 -5.072E-09  1.818E-06  2.899E-05  0.05  130.
 49140.0 -1.213E-08  3.881E-06  6.223E-05  0.04  130.
 49140.5 -4.521E-11  9.434E-08  1.775E-06  0.06  130.
 49141.0  3.845E-10  2.023E-08  7.690E-07  0.10  130.
 49141.5  1.043E-09 -1.459E-08  6.614E-07  0.24  130.
 49142.0  2.271E-09 -5.631E-08  8.635E-07  0.51  130.
 49142.5  1.686E-09 -4.156E-08  6.215E-07  0.50  130.
 49143.0  8.934E-10 -2.125E-08  3.800E-07  0.43  130.
 49143.5  8.169E-10 -2.044E-08  3.361E-07  0.48  130.
 49144.0  1.373E-09 -3.711E-08  4.572E-07  0.67  130.
 49144.5  3.262E-09 -9.138E-08  9.022E-07  1.01  130.
 49145.0  3.333E-09 -9.347E-08  9.034E-07  1.05  130.
 49145.5  1.605E-09 -4.443E-08  4.778E-07  0.84  130.
 49146.0  6.975E-10 -1.871E-08  2.493E-07  0.61  130.
 49146.5  3.873E-10 -9.694E-09  1.640E-07  0.46  130.
 49147.0  2.576E-10 -5.883E-09  1.264E-07  0.36  130.
 49147.5  1.939E-10 -3.954E-09  1.079E-07  0.31  130.
 49148.0  1.579E-10 -2.651E-09  9.577E-08  0.25  130.
 49148.5  1.412E-10 -1.920E-09  9.176E-08  0.23  130.
 49149.0  1.378E-10 -1.467E-09  9.273E-08  0.21  130.
 49149.5  1.474E-10 -1.232E-09  1.000E-07  0.20  130.
 49150.0  1.774E-10 -1.366E-09  1.170E-07  0.21  130.
 49150.5  2.409E-10 -1.665E-09  1.443E-07  0.20  130.
 49151.0  4.278E-10 -4.822E-09  2.235E-07  0.24  130.
 49151.5  8.369E-10 -1.161E-08  3.898E-07  0.27  130.
 49152.0  8.550E-10  1.748E-09  5.386E-07  0.18  130.
 49152.5  1.362E-09  6.108E-08  1.417E-06  0.10  130.
 49153.0 -3.029E-09  3.280E-06  2.720E-05  0.03  130.
