# 6
# wavenum, a0, a1, a2, maxerr, temp(maxerr)
# fit to xsec vs ((T-100)/10)^2
 49075.0  1.134E-09 -8.395E-07  1.577E-04  0.64  300.
 49075.5  8.333E-10 -6.128E-07  1.159E-04  0.54  300.
 49076.0  6.090E-10 -4.403E-07  8.377E-05  0.44  300.
 49076.5  4.688E-10 -3.288E-07  6.273E-05  0.34  300.
 49077.0  3.816E-10 -2.555E-07  4.866E-05  0.26  300.
 49077.5  3.262E-10 -2.044E-07  3.865E-05  0.21  500.
 49078.0  2.906E-10 -1.660E-07  3.088E-05  0.17  500.
 49078.5  2.697E-10 -1.357E-07  2.454E-05  0.13  500.
 49079.0  2.598E-10 -1.090E-07  1.864E-05  0.10  500.
 49079.5  2.626E-10 -8.489E-08  1.313E-05  0.06  500.
 49080.0  2.797E-10 -5.872E-08  6.663E-06  0.03  500.
 49080.5  3.186E-10 -2.600E-08 -1.921E-06  0.01  500.
 49081.0  3.987E-10  2.240E-08 -1.531E-05  0.02  300.
 49081.5  5.684E-10  1.113E-07 -4.032E-05  0.03  300.
 49082.0  1.006E-09  3.087E-07 -9.764E-05  0.04  500.
 49082.5  2.387E-09  9.060E-07 -2.721E-04  0.05  500.
 49083.0  4.662E-09  1.956E-06 -5.720E-04  0.05  500.
 49083.5  3.242E-09  1.316E-06 -3.888E-04  0.05  500.
 49084.0  1.370E-09  4.778E-07 -1.456E-04  0.04  500.
 49084.5  6.979E-10  1.960E-07 -6.338E-05  0.04  500.
 49085.0  4.593E-10  9.862E-08 -3.477E-05  0.03  300.
 49085.5  3.623E-10  5.763E-08 -2.281E-05  0.03  300.
 49086.0  3.280E-10  4.334E-08 -1.887E-05  0.03  300.
 49086.5  3.376E-10  4.167E-08 -1.894E-05  0.03  300.
 49087.0  3.949E-10  5.354E-08 -2.360E-05  0.03  300.
 49087.5  5.377E-10  8.292E-08 -3.462E-05  0.04  500.
 49088.0  8.841E-10  1.679E-07 -6.520E-05  0.05  500.
 49088.5  1.930E-09  4.093E-07 -1.532E-04  0.05  500.
 49089.0  4.891E-09  1.175E-06 -4.221E-04  0.05  500.
 49089.5  4.553E-09  1.144E-06 -3.857E-04  0.05  500.
 49090.0  2.190E-09  1.889E-06 -5.388E-05  0.03  500.
 49090.5  7.939E-10  1.040E-06  6.370E-05  0.02  500.
 49091.0  7.038E-10  9.482E-08 -3.260E-05  0.04  500.
 49091.5  4.061E-10  3.969E-08 -1.839E-05  0.03  500.
 49092.0  2.803E-10  1.815E-08 -1.101E-05  0.03  300.
 49092.5  2.181E-10  2.112E-09 -5.877E-06  0.02  300.
 49093.0  1.825E-10 -7.847E-09 -2.812E-06  0.02  300.
 49093.5  1.602E-10 -1.521E-08 -5.895E-07  0.01  300.
 49094.0  1.462E-10 -2.170E-08  1.252E-06  0.00  300.
 49094.5  1.371E-10 -2.661E-08  2.577E-06  0.01  420.
 49095.0  1.317E-10 -3.097E-08  3.676E-06  0.02  500.
 49095.5  1.298E-10 -3.602E-08  4.864E-06  0.02  500.
 49096.0  1.308E-10 -4.139E-08  6.042E-06  0.03  500.
 49096.5  1.341E-10 -4.702E-08  7.184E-06  0.04  500.
 49097.0  1.415E-10 -5.495E-08  8.773E-06  0.04  500.
 49097.5  1.525E-10 -6.447E-08  1.059E-05  0.05  500.
 49098.0  1.694E-10 -7.753E-08  1.303E-05  0.06  300.
 49098.5  1.939E-10 -9.513E-08  1.625E-05  0.07  300.
 49099.0  2.313E-10 -1.214E-07  2.103E-05  0.09  300.
 49099.5  2.890E-10 -1.610E-07  2.816E-05  0.11  300.
 49100.0  3.834E-10 -2.252E-07  3.965E-05  0.13  300.
 49100.5  5.451E-10 -3.353E-07  5.930E-05  0.15  300.
 49101.0  8.116E-10 -5.157E-07  9.127E-05  0.18  300.
 49101.5  1.138E-09 -7.362E-07  1.303E-04  0.20  300.
 49102.0  1.261E-09 -8.154E-07  1.443E-04  0.20  300.
 49102.5  1.136E-09 -7.243E-07  1.283E-04  0.18  300.
 49103.0  8.967E-10 -5.519E-07  9.797E-05  0.15  300.
 49103.5  6.470E-10 -3.662E-07  6.512E-05  0.11  300.
 49104.0  4.860E-10 -2.324E-07  4.196E-05  0.07  300.
 49104.5  3.961E-10 -1.198E-07  2.774E-05  0.03  500.
 49105.0  1.130E-10  8.053E-07  6.923E-05  0.02  500.
 49105.5  3.680E-10  4.794E-08  9.321E-07  0.00  320.
 49106.0  3.719E-10  3.817E-07 -1.269E-05  0.01  300.
 49106.5  6.722E-10  2.196E-07 -6.050E-05  0.03  500.
 49107.0  1.271E-09  5.957E-07 -1.614E-04  0.04  500.
 49107.5  3.061E-09  1.745E-06 -4.607E-04  0.04  500.
 49108.0  3.666E-09  2.123E-06 -5.587E-04  0.04  500.
 49108.5  1.840E-09  9.490E-07 -2.546E-04  0.04  500.
 49109.0  8.846E-10  3.465E-07 -9.812E-05  0.03  500.
 49109.5  5.923E-10  1.483E-07 -4.654E-05  0.02  300.
 49110.0  5.041E-10  7.428E-08 -2.808E-05  0.02  300.
 49110.5  5.182E-10  4.859E-08 -2.304E-05  0.02  300.
 49111.0  6.241E-10  6.001E-08 -2.856E-05  0.02  300.
 49111.5  9.003E-10  1.362E-07 -5.345E-05  0.03  300.
 49112.0  1.671E-09  4.047E-07 -1.355E-04  0.03  300.
 49112.5  4.054E-09  1.358E-06 -4.177E-04  0.04  300.
 49113.0  4.959E-09  1.677E-06 -5.150E-04  0.04  300.
 49113.5  3.227E-09  7.262E-07 -2.481E-04  0.03  300.
 49114.0  1.748E-09 -9.722E-08 -2.095E-05  0.01  500.
 49114.5  1.364E-09 -4.648E-07  7.369E-05  0.08  500.
 49115.0  1.319E-09 -6.749E-07  1.214E-04  0.14  500.
 49115.5  1.320E-09 -7.827E-07  1.443E-04  0.18  500.
 49116.0  1.218E-09 -7.618E-07  1.413E-04  0.20  500.
 49116.5  1.060E-09 -6.754E-07  1.254E-04  0.22  500.
 49117.0  8.885E-10 -5.692E-07  1.059E-04  0.22  500.
 49117.5  6.973E-10 -4.429E-07  8.292E-05  0.23  500.
 49118.0  5.397E-10 -3.351E-07  6.281E-05  0.22  500.
 49118.5  4.309E-10 -2.601E-07  4.889E-05  0.21  500.
 49119.0  3.556E-10 -2.068E-07  3.880E-05  0.20  500.
 49119.5  3.040E-10 -1.696E-07  3.170E-05  0.18  500.
 49120.0  2.683E-10 -1.427E-07  2.650E-05  0.16  500.
 49120.5  2.451E-10 -1.243E-07  2.292E-05  0.15  500.
 49121.0  2.301E-10 -1.110E-07  2.029E-05  0.13  500.
 49121.5  2.229E-10 -1.026E-07  1.863E-05  0.12  500.
 49122.0  2.209E-10 -9.608E-08  1.726E-05  0.11  500.
 49122.5  2.235E-10 -9.109E-08  1.615E-05  0.10  500.
 49123.0  2.321E-10 -8.762E-08  1.523E-05  0.09  500.
 49123.5  2.471E-10 -8.517E-08  1.456E-05  0.08  500.
 49124.0  2.703E-10 -8.184E-08  1.344E-05  0.07  500.
 49124.5  3.043E-10 -7.605E-08  1.160E-05  0.05  500.
 49125.0  3.569E-10 -6.500E-08  8.399E-06  0.04  500.
 49125.5  4.410E-10 -3.634E-08  5.824E-07  0.03  500.
 49126.0  5.958E-10  3.255E-08 -1.729E-05  0.01  360.
 49126.5  9.406E-10  2.331E-07 -6.726E-05  0.02  300.
 49127.0  1.930E-09  9.174E-07 -2.369E-04  0.03  300.
 49127.5  3.280E-09  1.906E-06 -4.789E-04  0.04  300.
 49128.0  2.296E-09  9.352E-07 -2.460E-04  0.03  300.
 49128.5  1.423E-09  4.820E-08 -3.499E-05  0.01  500.
 49129.0  1.313E-09 -3.293E-07  5.020E-05  0.05  500.
 49129.5  1.573E-09 -6.063E-07  1.061E-04  0.08  500.
 49130.0  2.250E-09 -9.458E-07  1.681E-04  0.09  500.
 49130.5  3.762E-09 -1.385E-06  2.368E-04  0.07  500.
 49131.0  7.130E-09 -1.473E-06  1.897E-04  0.04  500.
 49131.5  8.851E-09 -1.715E-06  2.094E-04  0.03  500.
 49132.0  6.519E-09 -2.297E-06  3.858E-04  0.07  500.
 49132.5  3.910E-09 -1.978E-06  3.643E-04  0.12  500.
 49133.0  2.448E-09 -1.376E-06  2.582E-04  0.15  500.
 49133.5  1.691E-09 -9.933E-07  1.876E-04  0.17  500.
 49134.0  1.327E-09 -8.125E-07  1.546E-04  0.19  500.
 49134.5  1.187E-09 -7.606E-07  1.455E-04  0.21  500.
 49135.0  1.217E-09 -8.189E-07  1.573E-04  0.26  300.
 49135.5  1.426E-09 -1.002E-06  1.922E-04  0.33  300.
 49136.0  1.853E-09 -1.341E-06  2.561E-04  0.42  300.
 49136.5  2.381E-09 -1.746E-06  3.317E-04  0.50  300.
 49137.0  2.573E-09 -1.894E-06  3.599E-04  0.52  300.
 49137.5  2.326E-09 -1.712E-06  3.276E-04  0.49  300.
 49138.0  1.862E-09 -1.363E-06  2.657E-04  0.41  300.
 49138.5  1.383E-09 -9.923E-07  2.037E-04  0.29  300.
 49139.0  1.087E-09 -7.285E-07  2.083E-04  0.18  500.
 49139.5  7.954E-10 -2.176E-07  3.100E-04  0.09  500.
 49140.0  5.136E-10  2.415E-07  4.808E-04  0.06  500.
 49140.5  6.491E-10 -1.708E-07  4.268E-05  0.06  500.
 49141.0  7.321E-10  2.604E-08 -1.109E-05  0.02  500.
 49141.5  1.136E-09  4.838E-07 -1.200E-04  0.03  300.
 49142.0  1.960E-09  1.375E-06 -3.282E-04  0.04  300.
 49142.5  1.524E-09  9.962E-07 -2.397E-04  0.03  300.
 49143.0  9.123E-10  4.538E-07 -1.128E-04  0.03  300.
 49143.5  8.597E-10  4.187E-07 -1.059E-04  0.03  300.
 49144.0  1.354E-09  8.275E-07 -2.063E-04  0.04  300.
 49144.5  2.999E-09  2.182E-06 -5.358E-04  0.04  500.
 49145.0  3.061E-09  2.231E-06 -5.473E-04  0.04  500.
 49145.5  1.534E-09  1.030E-06 -2.549E-04  0.04  500.
 49146.0  7.206E-10  3.890E-07 -9.769E-05  0.04  300.
 49146.5  4.368E-10  1.811E-07 -4.693E-05  0.03  300.
 49147.0  3.132E-10  9.864E-08 -2.664E-05  0.02  300.
 49147.5  2.498E-10  6.033E-08 -1.707E-05  0.02  300.
 49148.0  2.154E-10  4.050E-08 -1.194E-05  0.02  300.
 49148.5  1.956E-10  3.387E-08 -1.011E-05  0.01  300.
 49149.0  1.876E-10  3.466E-08 -9.927E-06  0.01  300.
 49149.5  1.899E-10  4.532E-08 -1.222E-05  0.02  300.
 49150.0  2.067E-10  6.911E-08 -1.749E-05  0.02  300.
 49150.5  2.522E-10  1.211E-07 -2.921E-05  0.03  300.
 49151.0  3.815E-10  2.502E-07 -5.851E-05  0.03  300.
 49151.5  6.599E-10  5.447E-07 -1.247E-04  0.04  500.
 49152.0  7.132E-10  5.783E-07 -1.312E-04  0.04  300.
 49152.5  1.185E-09  1.078E-06 -2.356E-04  0.04  500.
 49153.0  1.664E-09  3.666E-06 -2.624E-04  0.03  500.
 49153.5  1.600E-09  1.573E-06 -3.286E-04  0.04  500.
 49154.0  6.867E-10  8.100E-07 -1.225E-04  0.03  500.
 49154.5  4.225E-10  3.291E-07 -7.197E-05  0.04  500.
 49155.0  3.530E-10  2.617E-07 -5.976E-05  0.04  300.
 49155.5  4.625E-10  3.727E-07 -8.622E-05  0.04  500.
 49156.0  9.181E-10  8.426E-07 -1.944E-04  0.04  500.
 49156.5  8.169E-10  7.472E-07 -1.728E-04  0.04  500.
 49157.0  3.748E-10  2.767E-07 -6.460E-05  0.04  300.
 49157.5  2.328E-10  1.414E-07 -3.354E-05  0.03  300.
 49158.0  2.153E-10  1.241E-07 -2.959E-05  0.03  300.
 49158.5  2.621E-10  1.808E-07 -4.249E-05  0.03  300.
 49159.0  1.765E-10  8.715E-08 -2.116E-05  0.03  300.
 49159.5  1.200E-10  2.944E-08 -7.839E-06  0.02  300.
 49160.0  9.780E-11  7.877E-09 -2.889E-06  0.01  300.
 49160.5  8.625E-11 -2.557E-09 -5.153E-07  0.02  500.
 49161.0  7.919E-11 -9.181E-09  1.012E-06  0.03  500.
 49161.5  7.443E-11 -1.360E-08  2.002E-06  0.04  500.
 49162.0  7.091E-11 -1.681E-08  2.733E-06  0.05  500.
 49162.5  6.816E-11 -1.922E-08  3.272E-06  0.05  500.
 49163.0  6.617E-11 -2.127E-08  3.725E-06  0.06  500.
 49163.5  6.457E-11 -2.300E-08  4.104E-06  0.07  500.
 49164.0  6.341E-11 -2.448E-08  4.425E-06  0.08  500.
 49164.5  6.223E-11 -2.556E-08  4.658E-06  0.08  500.
 49165.0  6.168E-11 -2.692E-08  4.959E-06  0.09  500.
 49165.5  6.122E-11 -2.807E-08  5.197E-06  0.09  500.
 49166.0  6.104E-11 -2.923E-08  5.432E-06  0.10  500.
 49166.5  6.098E-11 -3.027E-08  5.647E-06  0.11  500.
 49167.0  6.097E-11 -3.128E-08  5.854E-06  0.11  500.
 49167.5  6.129E-11 -3.244E-08  6.097E-06  0.12  500.
 49168.0  6.159E-11 -3.340E-08  6.276E-06  0.12  500.
 49168.5  6.228E-11 -3.465E-08  6.528E-06  0.13  500.
 49169.0  6.299E-11 -3.578E-08  6.751E-06  0.13  500.
 49169.5  6.387E-11 -3.702E-08  6.989E-06  0.14  500.
 49170.0  6.491E-11 -3.828E-08  7.229E-06  0.14  300.
 49170.5  6.617E-11 -3.966E-08  7.495E-06  0.15  300.
 49171.0  6.772E-11 -4.124E-08  7.804E-06  0.16  300.
 49171.5  6.923E-11 -4.271E-08  8.081E-06  0.17  300.
 49172.0  7.125E-11 -4.448E-08  8.403E-06  0.18  300.
 49172.5  7.356E-11 -4.657E-08  8.817E-06  0.18  300.
 49173.0  7.597E-11 -4.859E-08  9.197E-06  0.19  300.
 49173.5  7.874E-11 -5.082E-08  9.611E-06  0.20  300.
 49174.0  8.194E-11 -5.339E-08  1.010E-05  0.21  300.
 49174.5  8.563E-11 -5.628E-08  1.065E-05  0.21  300.
 49175.0  8.975E-11 -5.936E-08  1.121E-05  0.22  300.
 49175.5  9.463E-11 -6.306E-08  1.191E-05  0.23  300.
 49176.0  1.002E-10 -6.717E-08  1.267E-05  0.23  300.
 49176.5  1.066E-10 -7.181E-08  1.353E-05  0.24  300.
 49177.0  1.144E-10 -7.751E-08  1.462E-05  0.24  300.
 49177.5  1.232E-10 -8.384E-08  1.580E-05  0.25  300.
 49178.0  1.341E-10 -9.165E-08  1.727E-05  0.25  300.
 49178.5  1.469E-10 -1.005E-07  1.893E-05  0.26  300.
 49179.0  1.630E-10 -1.119E-07  2.108E-05  0.26  300.
 49179.5  1.835E-10 -1.263E-07  2.381E-05  0.26  300.
 49180.0  2.095E-10 -1.444E-07  2.726E-05  0.26  300.
 49180.5  2.434E-10 -1.677E-07  3.170E-05  0.25  300.
 49181.0  2.904E-10 -2.001E-07  3.799E-05  0.24  300.
 49181.5  3.631E-10 -2.519E-07  5.031E-05  0.21  300.
 49182.0  4.590E-10 -3.159E-07  6.099E-05  0.22  300.
 49182.5  6.209E-10 -4.263E-07  8.395E-05  0.20  300.
 49183.0  9.013E-10 -6.193E-07  1.301E-04  0.16  300.
 49183.5  1.411E-09 -9.460E-07  3.083E-04  0.08  500.
 49184.0  2.018E-09 -1.317E-06  4.748E-04  0.07  500.
 49184.5  2.299E-09 -1.514E-06  4.761E-04  0.08  500.
 49185.0  1.994E-09 -1.348E-06  2.555E-04  0.20  300.
 49185.5  1.609E-09 -1.096E-06  2.042E-04  0.23  300.
 49186.0  1.253E-09 -8.652E-07  1.586E-04  0.29  300.
 49186.5  1.120E-09 -7.832E-07  1.441E-04  0.33  300.
 49187.0  1.482E-09 -9.353E-07  1.705E-04  0.19  300.
 49187.5  1.385E-09 -9.891E-07  1.825E-04  0.43  300.
 49188.0  1.713E-09 -1.241E-06  2.278E-04  0.56  300.
 49188.5  2.412E-09 -1.751E-06  3.195E-04  0.63  300.
 49189.0  3.442E-09 -2.498E-06  4.545E-04  0.66  300.
 49189.5  3.999E-09 -2.901E-06  5.271E-04  0.67  300.
 49190.0  3.484E-09 -2.529E-06  4.597E-04  0.67  300.
 49190.5  2.516E-09 -1.828E-06  3.328E-04  0.66  300.
 49191.0  1.772E-09 -1.289E-06  2.354E-04  0.65  300.
 49191.5  1.368E-09 -9.972E-07  1.827E-04  0.64  300.
 49192.0  1.211E-09 -8.839E-07  1.623E-04  0.64  300.
 49192.5  1.246E-09 -9.109E-07  1.676E-04  0.65  300.
 49193.0  1.490E-09 -1.091E-06  2.008E-04  0.67  300.
 49193.5  2.016E-09 -1.478E-06  2.720E-04  0.69  300.
 49194.0  2.777E-09 -2.038E-06  3.750E-04  0.70  300.
 49194.5  3.214E-09 -2.367E-06  4.381E-04  0.69  300.
 49195.0  3.049E-09 -2.271E-06  4.287E-04  0.63  300.
 49195.5  2.702E-09 -2.083E-06  4.272E-04  0.42  300.
 49196.0  2.350E-09 -1.131E-06  1.460E-03  0.10  500.
 49196.5  1.917E-09 -1.461E-06  3.654E-04  0.20  500.
 49197.0  1.834E-09 -1.358E-06  3.230E-04  0.18  500.
