# 6
# wavenum, a0, a1, a2, maxerr, temp(maxerr)
# fit to xsec vs ((T-100)/10)^2
 49059.5  1.290E-09 -1.804E-07  7.685E-06  0.11  200.
 49060.0  3.344E-09 -4.692E-07  1.998E-05  0.12  200.
 49060.5  6.335E-09 -8.843E-07  3.750E-05  0.11  200.
 49061.0  4.557E-09 -6.373E-07  2.707E-05  0.12  200.
 49061.5  2.253E-09 -3.142E-07  1.333E-05  0.11  200.
 49062.0  9.469E-10 -1.322E-07  5.624E-06  0.12  200.
 49062.5  5.121E-10 -7.129E-08  3.039E-06  0.11  200.
 49063.0  3.254E-10 -4.498E-08  1.916E-06  0.11  200.
 49063.5  2.327E-10 -3.251E-08  1.402E-06  0.12  200.
 49064.0  1.759E-10 -2.443E-08  1.055E-06  0.11  200.
 49064.5  1.404E-10 -1.952E-08  8.484E-07  0.12  200.
 49065.0  1.171E-10 -1.636E-08  7.171E-07  0.12  200.
 49065.5  1.015E-10 -1.431E-08  6.330E-07  0.12  200.
 49066.0  9.148E-11 -1.316E-08  5.909E-07  0.14  200.
 49066.5  8.597E-11 -1.278E-08  5.862E-07  0.16  200.
 49067.0  8.534E-11 -1.331E-08  6.256E-07  0.20  200.
 49067.5  9.046E-11 -1.503E-08  7.241E-07  0.27  200.
 49068.0  9.662E-11 -1.689E-08  8.301E-07  0.35  200.
 49068.5  9.356E-11 -1.646E-08  8.120E-07  0.36  200.
 49069.0  8.297E-11 -1.422E-08  6.977E-07  0.31  200.
 49069.5  7.065E-11 -1.149E-08  5.554E-07  0.24  200.
 49070.0  6.231E-11 -9.628E-09  4.586E-07  0.19  200.
 49070.5  5.723E-11 -8.477E-09  3.984E-07  0.16  200.
 49071.0  5.487E-11 -7.934E-09  3.703E-07  0.15  200.
 49071.5  5.435E-11 -7.809E-09  3.647E-07  0.14  200.
 49072.0  5.540E-11 -7.994E-09  3.744E-07  0.14  200.
 49072.5  5.818E-11 -8.552E-09  4.037E-07  0.15  200.
